특성,GDP(10억 달러)
2026*,406.94
2025*,377.57
2024*,365.99
2023*,354.89
2022*,344.14
2021*,329.53
2020,302.11
2019,351.35
2018,368.14
2017년,349.43
2016년,296.27
2015년,317.58
2014년,350.9
2013년,366.82
2012,396.33
2011년,416.88
2010년,375.3
2009년,297.22
2008년,287.1
2007년,299.03
2006년,271.81
2005년,257.67
2004년,228.93
2003년,175.25
2002년,115.75
2001년,121.6
2000,136.45
1999년,136.55
1998년,137.69
1997년,152.61
1996년,147.7
1995년,155.46
1994년,139.8
1993년,134.35
1992년,134.56
1991년,123.96
1990년,115.53
1989년,99.04
1988년,95.21
1987년,88.57
1986년,67.56
