특성,순 도달범위
알파벳 주식회사,98.8%
"페이스북, Inc.",93.5%
"Amazon.com, Inc.",84.4%
버라이존 커뮤니케이션즈(Verizon Communications Inc.),68.7%
마이크로 소프트 회사,61.7%
애플 주식회사,55.7%
"페이팔 홀딩스, Inc.",53.5%
"월마트 스토어, Inc.",49.3%
"위키미디어 재단, Inc.",48.6%
컴캐스트 주식회사,47.1%
AT&T 주식회사,44%
"트위터, Inc.",43.5%
"내셔널 어뮤즈먼츠, Inc.",43.4%
IAC/InterActiveCorp,38.5%
삼성그룹,37.8%
날씨 회사,36.7%
허스트 코퍼레이션,35.6%
월트 디즈니 컴퍼니,35.6%
"핀터레스트, Inc.",35.6%
이베이 주식회사,35%
뉴스코프,32.2%
타임 주식회사,27.4%
21세기폭스 주식회사,26.9%
레딧 주식회사,25.5%
이보타(주),25%
"넷플릭스, Inc.",24.7%
"스냅챗, Inc.",24.4%
타겟코퍼레이션,24.2%
스포티파이 주식회사,23.5%
"사전 출판물, Inc.",23.1%
