특성,전년대비 인플레이션율
2026*,2.56%
2025*,2.4%
2024*,1.76%
2023*,2.29%
2022*,3.43%
2021*,-0.15%
2020,0.24%
2019,3.47%
2018,6.78%
2017년,7.2%
2016년,-0.62%
2015년,0.05%
2014년,1.17%
2013년,2.11%
2012,1.15%
2011년,6.27%
2010년,3.54%
2009년,1.43%
2008년,10.45%
2007년,5.84%
2006년,6.15%
2005년,8.67%
2004년,10.97%
2003년,11.64%
2002년,10.36%
2001년,8.29%
2000,6.33%
1999년,4.46%
1998년,3.27%
1997년,1.9%
1996년,2.67%
1995년,-0.48%
1994년,3.92%
1993년,1.81%
1992년,8.6%
1991년,13.92%
1990년,5.63%
1989년,3.97%
1988년,10.33%
1987년,7.7%
1986년,29.87%
