특성,지출(백만 GBP)
2020년 4분기,28955
2020년 3분기,28945
2020년 2분기,29637
2020년 1분기,28824
2019년 4분기,27112
2019년 3분기,26903
2019년 2분기,26720
2019년 1분기,26554
2018년 4분기,26560
2018년 3분기,26296
2018년 2분기,26111
2018년 1분기,25960
2017년 4분기,25733
2017년 3분기,25344
2017년 2분기,25148
2017년 1분기,24784
2016년 4분기,24586
2016년 3분기,24440
2016년 2분기,24048
2016년 1분기,23647
2015년 4분기,23215
2015년 3분기,22847
2015년 2분기,22705
2015년 1분기,22578
2014년 4분기,23122
2014년 3분기,23448
2014년 2분기,23365
2014년 1분기,23394
2013년 4분기,23363
2013년 3분기,23113
2013년 2분기,22815
2013년 1분기,22789
2012년 4분기,22838
2012년 3분기,22178
2012년 2분기,22009
2012년 1분기,22190
