특성,GDP(10억 달러)
2026*,2451.38
2025*,2400.01
2024*,2348.23
2023*,2295.73
2022*,2231.94
2021*,2106.29
2020,1884.94
2019,2005.14
2018,2093.09
2017년,1961.11
2016년,1876.55
2015년,1836.82
2014년,2162.57
2013년,2141.96
2012,2088.28
2011년,2294.59
2010년,2137.84
2009년,2197.54
2008년,2408.39
2007년,2213.36
2006년,1949.66
2005년,1859.24
2004년,1805.72
2003년,1577.23
2002년,1275.87
2001년,1168.03
2000,1147.18
1999년,1253.69
1998년,1271.7
1997년,1243.23
1996년,1312.78
1995년,1175.28
1994년,1086.54
1993년,1053.43
1992년,1310.02
1991년,1234.54
1990년,1168.72
1989년,936.45
1988년,900.39
1987년,812.69
1986년,647.51
