특성,국내 총생산(단위: 10억 달러)
2026*,151.62
2025*,140.4
2024*,130.16
2023*,120.94
2022*,112.75
2021*,106.04
2020*,99.29
2019,95.41
2018,87.8
2017년,78.9
2016년,69.19
2015년,64.24
2014년,61.55
2013년,55.13
2012,50.42
2011년,41.67
2010년,40.0
2009년,37.02
2008년,35.9
2007년,31.96
2006년,25.83
2005년,21.0
2004년,18.06
2003년,16.8
2002년,14.76
2001년,14.54
2000,14.14
1999년,14.35
1998년,15.74
1997년,13.74
1996년,13.57
1995년,11.94
1994년,9.42
1993년,7.87
1992년,11.33
1991년,11.5
1990년,12.18
1989년,11.71
1988년,11.81
1987년,11.39
1986년,10.39
