특성,10억 달러 단위의 순이익
2021년 1분기,3.33
2020년 4분기,3.38
2020년 3분기,2.02
2020년 2분기,2.99
2020년 1분기,2.15
2019년 4분기,3.16
2019년 3분기,3.22
2019년 2분기,3.13
2019년 1분기,3.55
2018년 4분기,2.51
2018년 3분기,2.89
2018년 2분기,3.22
2018년 1분기,3.12
2017년 4분기,14.99
2017년 3분기,2.65
2017년 2분기,2.51
2017년 1분기,2.57
2016년 4분기,2.3
2016년 3분기,2.24
2016년 2분기,2.03
2016년 1분기,2.13
2015년 4분기,1.97
2015년 3분기,2.04
2015년 2분기,2.14
2015년 1분기,2.06
2014년 4분기,1.93
2014년 3분기,2.59
2014년 2분기,1.99
2014년 1분기,1.87
2013년 4분기,1.91
2013년 3분기,1.73
2013년 2분기,1.73
2013년 1분기,1.44
2012년 4분기,1.52
2012년 3분기,2.11
2012년 2분기,1.35
2012년 1분기,1.22
2011년 4분기,1.29
2011년 3분기,0.91
2011년 2분기,1.02
2011년 1분기,0.94
