특성,시장 점유율
12월 20일,8.65%
11월 20일,9.29%
10월 20일,9.19%
9월 20일,8.61%
8월 20일,12.43%
7월 20일,10.76%
6월 20일,9.37%
5월 20일,10.43%
4월 20일,7.08%
3월 20일,7.46%
2월 20일,10.63%
1월 20일,10.97%
12월 19일,10.09%
11월 19일,10.37%
10월 19일,11.69%
9월 19일,9.47%
8월 19일,11.63%
7월 19일,10.85%
6월 19일,9.87%
5월 19일,10.83%
4월 19일,11.22%
3월 19일,8.9%
2월 19일,12.68%
1월 19일,10.33%
12월 18일,11.45%
11월 18일,9.24%
10월 18일,10.95%
9월 18일,9.84%
8월 18일,11.91%
7월 18일,9.78%
6월 18일,9.51%
5월 18일,10.97%
4월 18일,11.98%
3월 18일,10.6%
2월 18일,14.91%
1월 18일,12.01%
12월 17일,10.19%
11월 17일,11.06%
10월 17일,12.38%
9월 17일,9.31%
8월 17일,12.08%
7월 17일,10.45%
6월 17일,11.13%
5월 17일,11.01%
4월 17일,10.64%
3월 17일,12.77%
2월 17일,11.92%
1월 17일,13.05%
12월 16일,11.65%
