특성,수백만 명의 참석자
"매직 킹덤(월트 디즈니 월드), 미국",20.96
미국 디즈니랜드 애너하임,18.66
일본 도쿄 디즈니랜드,17.91
일본 도쿄 디즈니 씨,14.65
"유니버셜 스튜디오, 일본",14.5
"디즈니 동물의 왕국, 미국",13.89
"Epcot(월트 디즈니 월드), 미국",12.44
중국 창롱해양왕국,11.74
"디즈니 할리우드 스튜디오, 미국",11.48
중국 상하이 디즈니랜드,11.21
"유니버설 스튜디오 올랜도, 미국",10.92
"아일랜드 오브 어드벤처, 미국",10.38
"디즈니 캘리포니아 어드벤처, 미국",9.86
"디즈니랜드 파크, 프랑스",9.74
"유니버셜 스튜디오 할리우드, 미국",9.15
"에버랜드, 대한민국",6.61
"롯데월드, 대한민국",5.95
"나가시마 스파랜드, 일본",5.95
독일 유로파파크,5.75
"홍콩 디즈니랜드, 홍콩 S.A.R.",5.7
"오션파크, 홍콩특별행정구",5.7
"데 에프텔링, 네덜란드",5.26
"월트 디즈니 스튜디오 파크, 프랑스",5.25
"OCTHappz Vallez, 베이징, 중국",5.16
"창롱 파라다이스, 중국",4.91
