특성,10억 캐나다 달러 매출
2020년 12월,4.25
'20년 11월,4.42
2020년 10월,4.91
2020년 9월,5.25
'20년 8월,5.54
2020년 7월,4.42
2020년 6월,4.1
20년 5월,3.45
2020년 4월,2.44
2020년 3월,4.0
2020년 2월,5.68
2020년 1월,5.7
19년 12월,6.4
'19년 11월,6.18
19년 10월,6.35
'19년 9월,6.35
'19년 8월,6.86
'19년 7월,6.72
19년 6월,6.58
19년 5월,6.48
'19년 4월,5.94
'19년 3월,6.02
'19년 2월,5.19
19년 1월,5.4
'18년 12월,6.28
'18년 11월,5.92
18년 10월,6.13
'18년 9월,6.28
'18년 8월,6.67
'18년 7월,6.54
18년 6월,6.41
18년 5월,6.2
'18년 4월,5.66
'18년 3월,5.78
'18년 2월,5.03
'18년 1월,5.13
'17년 12월,5.98
'17년 11월,5.6
'17년 10월,5.91
'17년 9월,5.98
'17년 8월,6.26
'17년 7월,6.23
'17년 6월,6.0
'17년 5월,5.85
'17년 4월,5.52
'17년 3월,5.43
'17년 2월,4.81
'17년 1월,4.94
