특성,백만 유로 단위의 시장(이전) 가치
조나단 데이비드(KAA Gent),22.5
크레핀 디아타(클럽 브뤼헤),19.0
야리 베르셰렌(RSC 안더레흐트),13.5
Zinho Vanheusden(스탠다드 루익),13.5
에마뉘엘 데니스(클럽 브뤼헤),13.5
한스 바나켄(클럽 브뤼헤),12.0
알베르 삼비 로콩가(RSC 안더레흐트),10.0
로만 야렘추크(KAA Gent),9.5
제레미 도쿠(RSC 안더레흐트),9.0
요아킴 마엘레(KRC Genk),8.0
시몬 미뇰레(클럽 브뤼헤),8.0
나세르 샤들리(RSC 안더레흐트),8.0
샤를 드 케텔라에레(클럽 브뤼헤),7.6
존 루쿠미(KRC Genk),7.2
Giorgi Chakvetadze (KAA 겐트),6.7
클린턴 마타(클럽 브뤼헤),6.5
웨슬리 호트(로열 앤트워프 FC),6.5
엘리샤 오우수(KAA Gent),6.0
마르코 피야카(RSC 안더레흐트),6.0
시몬 델리 (클럽 브뤼헤),5.5
미셸 블랩(RSC 안더레흐트),5.5
데이비드 오케레케(클럽 브뤼헤),5.5
헨드릭 판 크롬브루게(RSC 안더레흐트),5.5
브라이언 헤이넨(KRC Genk),5.5
폴 오누아추(KRC Genk),5.2
