특성,수익(미화 10억 달러)
2019년 3분기,3.3
2019년 2분기,3.81
2019년 1분기,4.17
2018년 4분기,4.02
2018년 3분기,3.26
2018년 2분기,3.47
2018년 1분기,3.76
2017년 4분기,3.92
2017년 3분기,3.17
2017년 2분기,3.26
2017년 1분기,3.34
2016년 4분기,3.52
2016년 3분기,3.08
2016년 2분기,3.29
2016년 1분기,3.59
2015년 4분기,3.59
2015년 3분기,3.26
2015년 2분기,3.22
2015년 1분기,3.5
2014년 4분기,3.68
2014년 3분기,3.37
2014년 2분기,3.19
2014년 1분기,3.57
2013년 4분기,3.57
2013년 3분기,3.3
2013년 2분기,3.37
2013년 1분기,4.04
2012년 4분기,3.7
2012년 3분기,3.27
2012년 2분기,3.33
2012년 1분기,3.92
2011년 4분기,3.61
2011년 3분기,3.37
2011년 2분기,3.59
2011년 1분기,3.51
2010년 4분기,3.9
2010년 3분기,3.3
2010년 2분기,3.33
2010년 1분기,3.53
