특성,순매출(단위: 백만 달러)
2020년 4분기,1351.41
2020년 3분기,1109.19
2020년 2분기,869.87
2020년 1분기,856.11
2019년 4분기,1102.23
'19년 3분기,934.38
'19년 2분기,954.84
'19년 1분기,766.05
2018년 4분기,932.11
'18년 3분기,810.01
'18년 2분기,894.45
'18년 1분기,710.87
2017년 4분기,888.5
'17년 3분기,743.08
'17년 2분기,813.49
'17년 1분기,641.51
2016년 4분기,860.77
'16년 3분기,722.25
'16년 2분기,811.61
'16년 1분기,624.04
2015년 4분기,781.36
'15년 3분기,679.69
'15년 2분기,773.83
'15년 1분기,585.39
2014년 4분기,803.3
'14년 3분기,706.28
'14년 2분기,777.85
'14년 1분기,583.22
2013년 4분기,759.69
'13년 3분기,643.64
'13년 2분기,696.56
'13년 1분기,531.96
2012년 4분기,769.0
'12년 3분기,672.38
'12년 2분기,718.0
'12년 1분기,556.6
2011년 4분기,910.0
'11년 3분기,666.99
'11년 2분기,674.1
'11년 1분기,507.83
2010년 4분기,837.72
2010년 3분기,692.36
2010년 2분기,728.77
'10년 1분기,431.07
2009년 4분기,1059.38
2009년 3분기,781.25
2009년 2분기,669.1
2009년 1분기,436.7
