특성,국내 총생산(단위: 10억 달러)
2026*,24127.83
2025*,22481.43
2024*,20910.47
2023*,19423.48
2022*,18013.4
2021*,16642.32
2020,14722.84
2019,14340.6
2018,13841.9
2017년,12265.32
2016년,11227.08
2015년,11113.53
2014년,10524.21
2013년,9625.04
2012,8539.47
2011년,7492.26
2010년,6033.81
2009년,5088.99
2008년,4577.4
2007년,3555.68
2006년,2754.11
2005년,2290.09
2004년,1949.49
2003년,1656.95
2002년,1465.84
2001년,1333.67
2000,1205.52
1999년,1088.34
1998년,1024.17
1997년,957.99
1996년,860.48
1995년,731.02
1994년,561.69
1993년,617.43
1992년,492.16
1991년,413.22
1990년,396.58
1989년,458.17
1988년,408.65
1987년,327.72
1986년,300.92
1985년,310.15
