특성,지출(백만 GBP)
2020년 4분기,28955
2020년 3분기,28945
2020년 2분기,39637
2020년 1분기,28824
2019년 4분기,25205
2019년 3분기,25244
2019년 2분기,25243
2019년 1분기,25230
2018년 4분기,25216
2018년 3분기,25110
2018년 2분기,25011
2018년 1분기,24879
2017년 4분기,24683
2017년 3분기,24690
2017년 2분기,24562
2017년 1분기,24554
2016년 4분기,24599
2016년 3분기,24081
2016년 2분기,23528
2016년 1분기,23030
2015년 4분기,22491
2015년 3분기,22215
2015년 2분기,22153
2015년 1분기,22089
2014년 4분기,22409
2014년 3분기,22656
2014년 2분기,22443
2014년 1분기,22337
2013년 4분기,22159
2013년 3분기,21863
2013년 2분기,21580
2013년 1분기,21563
