특성,국내 총생산(단위: 10억 달러)
2026*,114.28
2025*,107.04
2024*,100.29
2023*,94.05
2022*,88.32
2021*,84.53
2020*,80.7
2019,83.98
2018,87.92
2017년,87.42
2016년,82.39
2015년,80.56
2014년,79.31
2013년,74.28
2012,68.42
2011년,65.27
2010년,56.71
2009년,48.11
2008년,46.6
2007년,37.04
2006년,32.36
2005년,27.95
2004년,23.66
2003년,21.62
2002년,19.59
2001년,18.61
2000,19.37
1999년,18.53
1998년,18.43
1997년,17.89
1996년,16.05
1995년,14.64
1994년,13.78
1993년,11.95
1992년,11.18
1991년,10.37
1990년,9.47
1989년,8.27
1988년,8.24
1987년,7.88
1986년,7.57
