특성,경기장 건설 비용(단위: 백만 달러)
"아메리칸 항공 센터, 2001",420.0
"스테이플스 센터, 1999",375.0
"타임 워너 케이블 아레나, 2005",265.0
"장미정원, 1995",262.0
"오라클 아레나, 1997년",260.0
2004년 페덱스포럼,250.0
"에어캐나다 센터, 1999",239.5
"도요타 센터, 2003",235.0
"매디슨 스퀘어 가든, 1991",220.0
"필립스 아레나, 1999",213.5
"와코비아 센터, 1996",206.0
"아메리칸 에어라인 아레나, 1999",194.0
"AT&T 센터, 2002",186.0
"펩시 센터, 1999",184.0
"콘세코 필드 하우스, 1999",183.0
"유나이티드 센터, 1994",175.0
"TD 뱅크노스 가든, 1995",160.0
"퀵큰 론스 아레나, 1994",152.0
1992년 캠든야즈의 오리올 파크,110.0
"뉴올리언스 아레나, 1999",110.0
"타겟 센터, 1990",104.0
"암웨이 아레나, 1989",102.0
"에너지솔루션 아레나, 1991",94.0
"미국 항공 센터, 1992",90.0
"포드 센터, 2002",89.0
