특성,2월 28일 ~ 3월 1일,3월 12일 ~ 3월 13일,3월 19일 ~ 3월 20일,3월 26일 ~ 3월 27일,4월 9일 ~ 4월 14일,4월 16일 ~ 4월 17일
"대규모 스포츠 행사, 콘서트 또는 기타 대규모 행사 취소",36%,56%,81%,86%,87%,87%
기업이 사람들이 재택근무할 수 있도록 장려,45%,66%,78%,84%,83%,82%
임시 휴교,17%,34%,64%,81%,75%,74%
감염된 환자와 접촉한 사람은 모두 격리,65%,59%,68%,74%,72%,70%
코로나바이러스 사례가 확인된 국가에서 오는 모든 입국 항공편을 검역합니다.,43%,41%,63%,74%,67%,67%
코로나바이러스 확진자가 발생한 국가로부터의 모든 입국 항공편을 중단하세요,36%,41%,63%,72%,62%,62%
중국 본토에서 출발하는 모든 항공편의 모든 승객을 검역하세요,50%,47%,58%,67%,62%,61%
중국 본토에서 출발하는 모든 항공편 중단,46%,50%,59%,68%,60%,59%
일상적인 병원 약속 및 수술 취소,7%,27%,57%,66%,60%,54%
영국의 모든 사람들에게 무료 마스크 제공,25%,16%,22%,29%,32%,40%
현재 영국에 있는 모든 중국인 여행자를 격리하세요,19%,19%,25%,32%,31%,30%
오염된 환자가 있었던 영국 내 모든 장소를 격리하세요,26%,18%,23%,34%,32%,27%
정부가 어떤 조치를 취하면 안된다고 생각해요,4%,삼%,1%,1%,1%,1%
다른,삼%,5%,-,-,-,-
