특성,백만 달러 단위의 이익
'17년 1분기,99.0
'16년 4분기,162.0
'16년 3분기,163.0
'16년 2분기,-440.0
'16년 1분기,-98.29
'15년 4분기,-4435.0
'15년 3분기,76.26
'15년 2분기,-21.55
'15년 1분기,21.2
'14년 4분기,166.0
2014년 3분기*,6774.1
'14년 2분기,269.71
'14년 1분기,311.58
'13년 4분기,348.19
'13년 3분기,296.66
'13년 2분기,331.15
'13년 1분기,390.29
'12년 4분기,272.27
2012년 3분기*,3160.24
2012년 2분기,226.63
'12년 1분기,286.34
'11년 4분기,295.57
'11년 3분기,293.29
'11년 2분기,236.97
'11년 1분기,222.99
'10년 4분기,312.02
'10년 3분기,396.13
'10년 2분기,213.32
'10년 1분기,310.19
2009년 4분기,152.95
2009년 3분기,186.09
2009년 2분기,141.39
2009년 1분기,117.56
2008년 4분기,-303.43
2008년 3분기,54.35
2008년 2분기,131.22
2008년 1분기,536.84
2007년 4분기,205.72
2007년 3분기,151.29
2007년 2분기,160.57
2007년 1분기,142.42
2006년 4분기,268.67
2006년 3분기,158.53
2006년 2분기,164.33
2006년 1분기,159.86
2005년 4분기,683.21
2005년 3분기,253.77
2005년 2분기,754.69
2005년 1분기,204.56
