특성,시장 점유율
12월 20일,5.49%
11월 20일,6.88%
10월 20일,5.88%
9월 20일,5.98%
8월 20일,5.82%
7월 20일,5.59%
6월 20일,6.26%
5월 20일,7.33%
4월 20일,11.09%
3월 20일,4.9%
2월 20일,6.45%
1월 20일,6.19%
12월 19일,4.17%
11월 19일,6.63%
10월 19일,4.19%
9월 19일,7.98%
8월 19일,5.25%
7월 19일,6.61%
6월 19일,6.96%
5월 19일,7.33%
4월 19일,6.61%
3월 19일,8.25%
2월 19일,5.98%
1월 19일,7.61%
12월 18일,8.78%
11월 18일,7.29%
10월 18일,6.14%
9월 18일,8.51%
8월 18일,5.4%
7월 18일,7.19%
6월 18일,7.75%
5월 18일,7.26%
4월 18일,6.68%
3월 18일,7.81%
2월 18일,6.01%
1월 18일,7.73%
12월 17일,8.72%
11월 17일,6.32%
10월 17일,6.16%
9월 17일,7.29%
8월 17일,8.74%
7월 17일,7.12%
6월 17일,8.62%
5월 17일,7.54%
4월 17일,7.06%
3월 17일,8.28%
2월 17일,7.58%
1월 17일,7.95%
