특성,1인당 GDP(미국 달러)
2026*,155475.12
2025*,151683.8
2024*,148001.91
2023*,143915.92
2022*,139125.62
2021*,131781.72
2020,116921.11
2019,115838.77
2018,117859.72
2017년,108621.75
2016년,105364.03
2015년,102624.93
2014년,120449.74
2013년,114996.72
2012,108050.47
2011년,117366.01
2010년,106177.04
2009년,104393.46
2008년,115898.45
2007년,107014.12
2006년,90499.21
2005년,81048.61
2004년,76343.55
2003년,66061.09
2002년,53399.67
2001년,48498.98
2000,49183.0
1999년,49541.5
1998년,45821.79
1997년,44381.98
1996년,49920.67
1995년,50910.9
1994년,43482.67
1993년,39643.32
1992년,39219.57
1991년,35489.96
1990년,33201.11
1989년,26333.36
1988년,24976.46
1987년,22239.42
1986년,18022.86
