특성,순이익/손실(단위: 백만 달러)
2021년 1분기,68.01
2020년 4분기,222.12
2020년 3분기,28.66
2020년 2분기,-1228.01
2020년 1분기,-8.4
'19년 4분기,118.77
'19년 3분기,36.52
2019년 2분기¹,1119.56
'19년 1분기,190.8
'18년 4분기,255.3
'18년 3분기,789.18
'18년 2분기,100.12
'18년 1분기,61.0
'17년 4분기,91.08
'17년 3분기,-21.1
2017년 2분기,-116.49
'17년 1분기,-61.56
'16년 4분기,-167.05
'16년 3분기,-102.87
'16년 2분기,-107.22
'16년 1분기,-79.73
'15년 4분기,-90.24
'15년 3분기,-131.69
'15년 2분기,-136.66
'15년 1분기,-162.44
'14년 4분기,-125.35
'14년 3분기,-175.46
'14년 2분기,-144.64
'14년 1분기,-132.36
'13년 4분기,-511.47
'13년 3분기,-64.6
'13년 2분기,-42.23
'13년 1분기,-27.03
'12년 4분기,-8.71
'12년 3분기,-21.59
2012년 2분기,-27.58
'12년 1분기,-21.52
