특성,순이익(단위: 백만 달러)
2021년 1분기,219.0
2020년 4분기,677.0
2020년 3분기,272.0
2020년 2분기,243.0
2020년 1분기,293.0
'19년 4분기,243.0
'19년 3분기,246.0
2019년 2분기,263.0
'19년 1분기,162.0
'18년 4분기,251.05
'18년 3분기,343.05
'18년 2분기,292.35
'18년 1분기,289.44
'17년 4분기,-37.0
'17년 3분기,275.72
2017년 2분기,202.11
'17년 1분기,207.07
'16년 4분기,204.63
'16년 3분기,193.9
'16년 2분기,174.97
'16년 1분기,172.44
'15년 4분기,134.63
'15년 3분기,166.55
'15년 2분기,102.85
'15년 1분기,105.69
'14년 4분기,143.12
'14년 3분기,136.17
'14년 2분기,119.96
'14년 1분기,93.99
'13년 4분기,65.2
'13년 3분기,62.88
'13년 2분기,125.52
'13년 1분기,123.6
'12년 4분기,156.24
'12년 3분기,74.51
2012년 2분기,3134.17
'12년 1분기,107.77
'11년 4분기,71.34
'11년 3분기,104.19
'11년 2분기,173.32
'11년 1분기,78.12
