특성,출하량 점유율
2020년 4분기,8.4%
2020년 3분기,14.7%
2020년 2분기,20%
2020년 1분기,17.8%
'19년 4분기,15.2%
'19년 3분기,18.6%
2019년 2분기,17.6%
'19년 1분기,19%
'18년 4분기,16.1%
'18년 3분기,14.6%
'18년 2분기,15.9%
'18년 1분기,11.8%
'17년 4분기,10.2%
'17년 3분기,10.4%
2017년 2분기,11%
'17년 1분기,10%
'16년 4분기,10.5%
'16년 3분기,9.3%
'16년 2분기,9.4%
'16년 1분기,8.4%
'15년 4분기,8.2%
'15년 3분기,7.6%
'15년 2분기,8.6%
'15년 1분기,5.2%
'14년 4분기,6.3%
'14년 3분기,5%
'14년 2분기,6.9%
'14년 1분기,4.9%
'13년 4분기,5.8%
'13년 3분기,4.8%
'13년 2분기,4.3%
'13년 1분기,4.3%
'12년 4분기,4.6%
'12년 3분기,3.8%
2012년 2분기,4.1%
'12년 1분기,3.3%
