회사(파산일),자산(단위: 10억 달러)
리먼 브라더스 (2008년 9월 15일),691.06
워싱턴 뮤추얼(2008년 9월 26일),327.91
월드컴(2002년 7월 2일),103.91
제너럴 모터스(2009년 6월 1일),82.29
CIT그룹 (2009년 11월 1일),71.0
Pacific Gas and Electric Company (2019년 1월 14일),71.0
엔론 (2001년 12월 2일),65.5
콘세코 (2002년 12월 17일),61.39
MF글로벌 (2011년 10월 31일),41.0
크라이슬러 (2009년 4월 30일),39.3
손버그 모기지(2009년 1월 5일),36.52
Pacific Gas and Electric Company(2001년 4월 6일),36.15
텍사코 (1987년 12월 4일),34.94
미국 금융공사(1988년 9월 9일),33.86
레프코(2005년 10월 17일),33.33
IndyMac Bancorp(2008년 7월 31일),32.73
글로벌 크로싱(2002년 1월 28일),30.19
뉴잉글랜드 은행(1991년 7월 1일),29.77
일반 성장 속성(2009년 4월 16일),29.56
라이온델 케미컬(2009년 6월 1일),27.39
