특성,1인당 GDP(미국 달러)
2026*,1227.69
2025*,1169.06
2024*,1135.59
2023*,1090.69
2022*,1046.28
2021*,983.38
2020*,897.29
2019*,907.22
2018,922.55
2017년,854.98
2016년,804.08
2015년,772.64
2014년,872.03
2013년,827.35
2012,801.1
2011년,861.87
2010년,732.4
2009년,722.92
2008년,719.33
2007년,616.72
2006년,639.61
2005년,504.44
2004년,454.12
2003년,404.93
2002년,345.81
2001년,316.23
2000,277.84
1999년,331.78
1998년,329.01
1997년,325.45
1996년,355.7
1995년,356.81
1994년,282.77
1993년,379.11
1992년,389.75
1991년,387.97
1990년,387.84
1989년,345.59
1988년,287.08
1987년,290.08
1986년,252.94
