특성,높이(cm)
아브라함 링컨,193
린든 B. 존슨,192
도날드 트럼프 *,191
토마스 제퍼슨,189
체스터 A. 아서,188
빌 클린턴,188
조지 워싱턴,188
프랭클린 D. 루즈벨트,188
조지 H. W. 부시,188
앤드류 잭슨,185
로날드 리건,185
존 F 케네디,185
버락 오바마,185
제임스 먼로,183
존 타일러,183
제럴드 포드,183
워렌 G. 하딩,183
제임스 뷰캐넌,183
제임스 A. 가필드,183
조 바이든,182
조지 W. 부시,182
윌리엄 하워드 태프트,182
허버트 후버,182
리처드 닉슨,182
우드로 윌슨,180
그로버 클리블랜드,180
대통령 평균,180
드와이트 D. 아이젠하워,179
캘빈 쿨리지,178
프랭클린 피어스,178
앤드류 존슨,178
시어도어 루즈벨트,178
지미 카터,177
미국 남성 평균 키,175
해리 S. 트루먼,175
밀라드 필모어,175
러더퍼드 B. 헤이즈,174
재커리 테일러,173
윌리엄 헨리 해리슨,173
율리시스 S. 그랜트 *,173
제임스 K. 포크,173
존 퀸시 아담스,171
윌리엄 맥킨리,170
존 아담스,170
벤자민 해리슨,168
마틴 반 뷰렌,168
제임스 매디슨,163
