특성,소비자물가지수(100=1982-1984)
캘리포니아주 샌디에고-칼즈배드,303.93
캘리포니아주 샌프란시스코-오클랜드-헤이워드,300.08
도시 하와이,286.01
"보스턴-캠브리지-뉴턴, MA-NH",284.27
"뉴욕-뉴어크-저지 시티, NY-NJ-PA",282.92
워싱턴주 시애틀-타코마-벨뷰,282.69
"로스앤젤레스-롱비치-애너하임, 캘리포니아",278.57
"마이애미-포트로더데일-웨스트팜비치, 플로리다",272.1
콜로라도주 덴버-오로라-레이크우드,272.21
"워싱턴-알링턴-알렉산드리아, DC-VA-MD-WV",267.16
"볼티모어-컬럼비아-타우슨, 메릴랜드주",259.48
"필라델피아-캠든-윌밍턴, PA-NJ-DE-MD",258.92
미국 도시 평균,261.77
"미니애폴리스-세인트폴-블루밍턴, MN-WI",253.0
"애틀랜타-샌디스프링스-로스웰, 조지아",246.65
"Chicago-Naperville-Elgin, IL-IN-WI",253.87
"댈러스-포트워스-알링턴, 텍사스",239.08
미시간주 디트로이트-워렌-디어본,237.66
미주리주 세인트루이스,232.91
"휴스턴-더 우드랜즈-슈거 랜드, 텍사스",229.16
도시 알래스카,226.15
탬파-세인트. 플로리다주 피터스버그-클리어워터,233.84
애리조나주 피닉스-메사-스코츠데일*,145.72
