특성,1인당 GDP(미국 달러)
2026*,1298.63
2025*,1193.05
2024*,1097.3
2023*,1000.5
2022*,926.21
2021*,951.76
2020*,994.2
2019*,968.25
2018*,852.01
2017*,829.31
2016년,790.82
2015년,702.77
2014년,613.1
2013년,535.26
2012,493.32
2011년,361.83
2010년,324.29
2009년,351.34
2008년,326.82
2007년,244.5
2006년,198.7
2005년,164.94
2004년,138.28
2003년,120.6
2002년,116.45
2001년,123.89
2000,128.62
1999년,121.55
1998년,129.86
1997년,147.25
1996년,154.56
1995년,142.81
1994년,151.97
1993년,176.47
1992년,293.35
1991년,287.65
1990년,269.08
1989년,262.23
1988년,257.56
1987년,256.7
1986년,247.98
