특성,응답자 비율
2021년 4월 11일,29%
2021년 3월 28일,28%
2021년 3월 14일,34%
2021년 2월 28일,40%
2021년 2월 14일,42%
2021년 1월 31일,44%
2021년 1월 17일,42%
2021년 1월 3일,36%
2020년 12월 20일,40%
2020년 12월 6일,40%
2020년 11월 22일,43%
2020년 11월 8일,42%
2020년 10월 25일,40%
2020년 10월 11일,28%
2020년 9월 27일,21%
2020년 9월 13일,23%
2020년 8월 30일,26%
2020년 8월 16일,30%
2020년 8월 2일,27%
2020년 7월 19일,37%
2020년 7월 5일,42%
2020년 6월 21일,46%
2020년 6월 7일,50%
2020년 5월 24일,57%
2020년 5월 3일,68%
2020년 4월 26일,69%
2020년 4월 19일,68%
2020년 4월 12일,68%
2020년 4월 5일,70%
2020년 3월 29일,67%
2020년 3월 22일,55%
2020년 3월 15일,14%
2020년 3월 8일,10%
2020년 3월 3일,8%
2020년 2월 23일,8%
