특성,10억 달러 규모의 수입
2020년 2분기,609.55
2020년 1분기,732.03
'19년 4분기,762.23
'19년 3분기,779.85
2019년 2분기,783.61
'19년 1분기,779.45
'18년 4분기,793.18
'18년 3분기,787.03
'18년 2분기,769.91
'18년 1분기,769.2
'17년 4분기,753.4
'17년 3분기,720.77
2017년 2분기,716.79
'17년 1분기,710.22
'16년 4분기,695.41
'16년 3분기,685.26
'16년 2분기,672.37
'16년 1분기,666.06
'15년 4분기,679.86
'15년 3분기,694.12
'15년 2분기,697.18
'15년 1분기,699.85
'14년 4분기,722.32
'14년 3분기,720.03
'14년 2분기,723.16
'14년 1분기,710.9
'13년 4분기,694.04
'13년 3분기,690.0
'13년 2분기,688.0
'13년 1분기,688.04
'12년 4분기,689.96
'12년 3분기,688.13
2012년 2분기,696.6
'12년 1분기,698.68
'11년 4분기,688.33
'11년 3분기,682.43
'11년 2분기,674.88
'11년 1분기,652.43
'10년 4분기,619.47
'10년 3분기,604.72
'10년 2분기,588.05
'10년 1분기,563.17
