특성,전년대비 인플레이션율
2026*,2.6%
2025*,2.6%
2024*,2.4%
2023*,2.1%
2022*,2.7%
2021*,-2.5%
2020,1.48%
2019,2.2%
2018,3.67%
2017년,1.3%
2016년,0.13%
2015년,1.92%
2014년,-1.24%
2013년,-0.21%
2012,6.19%
2011년,2.88%
2010년,-0.2%
2009년,14.64%
2008년,6.27%
2007년,4.48%
2006년,3.23%
2005년,7.82%
2004년,7.85%
2003년,4.37%
2002년,7.43%
2001년,1.89%
2000,-0.17%
1999년,0.37%
1998년,5.4%
1997년,6.9%
1996년,5.42%
1995년,-2.93%
1994년,12.09%
1993년,1.71%
1992년,9.03%
1991년,-1.82%
1990년,8.48%
1989년,12.25%
1988년,3.19%
1987년,11.16%
1986년,2.68%
