특성,수백만 단위의 설치 기반
텔레비전,284
디지털 액자,50
비디오 프로젝터,4
가입자 DVR,53
가입자 비DVR,103
구독자 씬 클라이언트,41
가입자 케이블 DTA,31
독립형 DVR,2
공중파 DTA,7
디지털 미디어 스트리밍,77
비디오 카세트 레코더,39
서라운드 기능이 있는 AV 리시버,43
컴퓨터 스피커,80
홈 시어터 기본 제공,20
라디오 + 시계 라디오,113
쉘프 스테레오 + 컴팩트,30
스피커 독,70
사운드바,20
비디오 게임 콘솔,105
블루레이 플레이어,48
"CD 플레이어, 독립형",42
DVD 플레이어,94
데스크탑 컴퓨터,72
휴대용 컴퓨터,122
감시 장치,101
외부 저장 드라이브,89
웹 카메라,66
프린터 + 다기능,97
통합접근장치,85
광대역 모뎀,8
로컬 네트워크 장비,39
무선 전화기,104
인터넷 기반 전화,12
전화 응답 장치,11
스마트폰이 아닌 모바일,66
모바일 스마트폰,238
블루투스 헤드셋,71
무선 스피커,140
비디오 게임,52
DVD 또는 블루레이 플레이어,80
"미디어 플레이어, MP3 + CD",90
eReader,54
"GPS, 휴대용",68
스마트워치 + 웨어러블,64
태블릿 컴퓨터,140
캠코더,54
디지털 카메라,107
