특성,국내 총생산(단위: 10억 달러)
2026*,106.14
2025*,100.76
2024*,95.4
2023*,90.07
2022*,84.38
2021*,77.78
2020*,68.56
2019,68.56
2018,66.29
2017년,59.09
2016년,53.8
2015년,50.63
2014년,56.88
2013년,55.59
2012,54.01
2011년,57.37
2010년,50.36
2009년,52.0
2008년,54.43
2007년,44.4
2006년,34.38
2005년,18.7
2004년,26.16
2003년,21.15
2002년,16.4
2001년,14.18
2000,13.25
1999년,13.63
1998년,15.03
1997년,11.32
1996년,12.3
1995년,16.28
1994년,9.72
1993년,5.53
1992년,10.18
1991년,2.51
1990년,25.61
1989년,58.08
1988년,57.03
1987년,34.9
1986년,30.11
