특성,지출(백만 GBP)
2020년 3분기,11772
2020년 2분기,12392
2020년 1분기,11141
2019년 4분기,10853
2019년 3분기,10871
2019년 2분기,10834
2019년 1분기,10997
2018년 4분기,11128
2018년 3분기,11203
2018년 2분기,11207
2018년 1분기,10812
2017년 4분기,10756
2017년 3분기,10596
2017년 2분기,10535
2017년 1분기,10336
2016년 4분기,10197
2016년 3분기,10085
2016년 2분기,10097
2016년 1분기,10045
2015년 4분기,10162
2015년 3분기,10124
2015년 2분기,10149
2015년 1분기,10332
2014년 4분기,10433
2014년 3분기,10492
2014년 2분기,10441
2014년 1분기,10755
2013년 4분기,10637
2013년 3분기,10754
2013년 2분기,10306
2013년 1분기,10649
2012년 4분기,10303
2012년 3분기,10193
2012년 2분기,10202
2012년 1분기,10421
