특성,GDP 대비 가계부채 비율
2020년 3분기,79.38%
2020년 2분기,79.17%
2020년 1분기,84.48%
2019년 4분기,76.42%
2019년 3분기,75.43%
2019년 2분기,75.4%
2019년 1분기,75.32%
2018년 4분기,75.28%
2018년 3분기,76.01%
2018년 2분기,76.01%
2018년 1분기,75.81%
2017년 4분기,76.27%
2017년 3분기,77.24%
2017년 2분기,77.44%
2017년 1분기,77.71%
2016년 4분기,77.46%
2016년 3분기,78.06%
2016년 2분기,78.4%
2016년 1분기,78.1%
2015년 4분기,78.14%
2015년 3분기,78.58%
2015년 2분기,78.57%
2015년 1분기,78.76%
2014년 4분기,78.97%
2014년 3분기,79.92%
2014년 2분기,80.11%
2014년 1분기,81.43%
2013년 4분기,82.41%
2013년 3분기,82.63%
2013년 2분기,82.7%
2013년 1분기,83.3%
2012년 4분기,83.59%
2012년 3분기,84.94%
2012년 2분기,85.48%
2012년 1분기,85.83%
2011년 4분기,86.82%
2011년 3분기,88.33%
2011년 2분기,89.47%
2011년 1분기,90.33%
