특성,시청자 수(천 명)
2021년 4월,131.0
2021년 3월,158.0
2021년 2월,160.0
2021년 1월,136.07
2021년 12월,146.01
2020년 11월,115.35
2020년 10월,115.18
2020년 9월,108.01
2020년 8월,132.89
2020년 7월,141.72
2020년 6월,155.2
2020년 5월,165.17
2020년 4월,135.63
2020년 3월,89.1
2020년 2월,79.68
2020년 1월,72.34
2019년 12월,86.37
2019년 11월,81.47
2019년 10월,106.0
2019년 9월,83.92
2019년 8월,119.61
2019년 7월,121.7
2019년 6월,128.84
2019년 5월,144.1
2019년 4월,139.43
2019년 3월,136.23
2019년 2월,124.99
2019년 1월,170.14
2018년 12월,158.48
2018년 11월,152.9
2018년 10월,150.62
2018년 9월,147.48
2018년 8월,176.89
2018년 7월,205.26
2018년 6월,176.29
2018년 5월,194.28
2018년 4월,178.74
2018년 3월,159.36
2018년 2월,97.6
2018년 1월,61.64
