특성,HFCE(백만 호주 달러)
2019년 4분기,277811
2019년 3분기,275794
2019년 2분기,274060
2019년 1분기,271580
2018년 4분기,269454
2018년 3분기,267426
2018년 2분기,265282
2018년 1분기,262553
2017년 4분기,259789
2017년 3분기,256034
2017년 2분기,253693
2017년 1분기,250899
2016년 4분기,248944
2016년 3분기,246618
2016년 2분기,244617
2016년 1분기,242896
2015년 4분기,240918
2015년 3분기,238818
2015년 2분기,235763
2015년 1분기,233168
2014년 4분기,231129
2014년 3분기,229114
2014년 2분기,227152
2014년 1분기,225241
2013년 4분기,222622
2013년 3분기,219963
2013년 2분기,216030
2013년 1분기,214513
2012년 4분기,212219
2012년 3분기,210876
2012년 2분기,208561
2012년 1분기,205786
