특성,미터톤당 말레이시아 링깃의 평균 가격
12월 20일,3620.5
11월 20일,3422.0
10월 20일,2979.5
9월 20일,2924.0
8월 20일,2815.0
7월 20일,2519.0
6월 20일,2411.5
5월 20일,2074.0
209년 4월,2299.0
3월 20일,2382.0
2월 20일,2714.5
1월 20일,3013.5
12월 19일,2813.0
11월 19일,2493.5
10월 19일,2104.0
9월 19일,2097.0
8월 19일,2066.5
7월 19일,1879.0
6월 19일,1968.0
5월 19일,1946.5
4월 19일,2018.5
3월 19일,1903.5
2월 19일,2100.5
1월 19일,2037.0
12월 18일,1794.5
11월 18일,1830.5
10월 18일,2082.0
9월 18일,2177.5
8월 18일,2183.5
7월 18일,2215.0
6월 18일,2324.0
5월 18일,2396.0
4월 18일,2418.0
3월 18일,2426.5
2월 18일,2488.0
1월 18일,2486.5
