특성,국내 총생산(단위: 10억 달러)
2026*,564.64
2025*,525.04
2024*,488.0
2023*,453.23
2022*,417.21
2021*,387.09
2020*,338.28
2019,364.68
2018,358.71
2017년,319.11
2016년,301.26
2015년,301.36
2014년,342.87
2013년,327.87
2012,318.91
2011년,302.19
2010년,258.65
2009년,211.88
2008년,242.04
2007년,202.8
2006년,170.47
2005년,150.35
2004년,135.87
2003년,120.03
2002년,109.83
2001년,101.05
2000,102.15
1999년,86.2
1998년,78.61
1997년,109.1
1996년,109.84
1995년,96.75
1994년,81.12
1993년,72.86
1992년,64.42
1991년,53.51
1990년,47.24
1989년,41.68
1988년,37.85
1987년,34.53
1986년,30.3
