특성,보리스 존슨,키어 스타머
21년 5월 28일,37%,25%
21년 5월 20일,40%,24%
21년 4월 14일,34%,26%
21년 4월 8일,35%,29%
21년 4월 1일,35%,29%
21년 3월 25일,37%,27%
21년 3월 4일,36%,28%
21년 2월 26일,35%,31%
21년 2월 3일,33%,33%
21년 1월 27일,29%,34%
21년 1월 14일,29%,34%
21년 1월 5일,30%,35%
20년 12월 22일,30%,35%
20년 12월 3일,29%,33%
20년 11월 27일,29%,34%
20년 11월 18일,29%,34%
20년 11월 12일,28%,34%
20년 11월 5일,26%,36%
20년 10월 22일,29%,35%
20년 10월 7일,29%,33%
20년 9월 30일,27%,36%
20년 9월 24일,30%,37%
20년 9월 17일,30%,35%
20년 9월 4일,31%,34%
20년 8월 5일,32%,34%
20년 7월 31일,33%,31%
20년 6월 28일,35%,34%
20년 6월 12일,33%,33%
20년 5월 30일,37%,32%
20년 5월 19일,39%,27%
20년 4월 17일,46%,22%
