특성,전년대비 인플레이션율
2026*,1.7%
2025*,1.7%
2024*,1.6%
2023*,1.5%
2022*,1.4%
2021*,1.2%
2020*,0.61%
2019,1.11%
2018,1.28%
2017년,0.78%
2016년,-1.44%
2015년,0.14%
2014년,-0.24%
2013년,1.51%
2012,2.54%
2011년,4.47%
2010년,2.07%
2009년,1.01%
2008년,6.77%
2007년,4.4%
2006년,4.84%
2005년,0.43%
2004년,-1.89%
2003년,1.19%
2002년,1.92%
2001년,3.67%
2000,-2.4%
1999년,4.34%
1998년,4.4%
1997년,8.57%
1996년,6.01%
1995년,8.41%
1994년,3.34%
1993년,5.83%
1992년,13.43%
1991년,7.59%
1990년,11.11%
1989년,4.65%
1988년,3.61%
1987년,3.75%
1986년,11.11%
