특성,수업료 및 수수료(단위: 천 달러)
하버드 - 매사추세츠주 보스턴,139
"펜실베니아(와튼) - 필라델피아, 펜실베니아",137
"컬럼비아 - 뉴욕, NY",136
"다트머스(터크) - 하노버, NH",135
"NYU(스턴) - 뉴욕, 뉴욕",131
MIT(슬론) - 매사추세츠주 케임브리지,130
시카고(부스) - 일리노이주 시카고,128
노스웨스턴(켈로그) - 일리노이주 에번스턴,128
듀크(푸쿠아) - 노스캐롤라이나주 더럼,128
스탠포드 – 캘리포니아주 팔로알토,127
"예일 - 뉴 헤이븐, 코네티컷",124
코넬(존슨) - 뉴욕주 이타카,123
미시간(로스) – 미시간주 앤아버,122
버지니아(다든) - 버지니아주 샬러츠빌,118
카네기 멜론(테퍼) - 펜실베이니아주 피츠버그,118
"UCLA(앤더슨) - 로스앤젤레스, 캘리포니아",114
"UNC(케넌-플래글러) - 채플힐, 노스캐롤라이나",113
UC 버클리(Haas) - 캘리포니아주 버클리,110
텍사스-오스틴(McCombs) - 텍사스 주 오스틴,96
인디애나(켈리) - 인디애나주 블루밍턴,93
