특성,소비자물가지수*
3월 21일,118.9
2월 21일,119.0
1월 21일,119.4
12월 20일,117.1
11월 20일,117.0
10월 20일,117.2
9월 20일,117.0
8월 20일,116.9
7월 20일,117.5
6월 20일,117.1
5월 20일,117.4
4월 20일,117.0
3월 20일,116.2
2월 20일,115.8
1월 20일,115.7
12월 19일,113.1
11월 19일,114.7
10월 19일,114.9
9월 19일,114.5
8월 19일,114.7
7월 19일,114.5
6월 19일,114.7
5월 19일,114.4
4월 19일,114.1
3월 19일,114.6
2월 19일,115.0
1월 19일,114.0
12월 18일,111.3
11월 18일,112.5
10월 18일,111.1
9월 18일,111.2
8월 18일,111.1
7월 18일,110.3
6월 18일,110.6
5월 18일,110.8
4월 18일,109.8
3월 18일,108.9
2월 18일,109.4
1월 18일,109.4
12월 17일,107.0
11월 17일,106.4
10월 17일,106.8
9월 17일,106.9
8월 17일,106.7
7월 17일,106.6
6월 17일,106.3
5월 17일,106.5
4월 17일,105.6
3월 17일,105.2
