특성,국내 총생산(단위: 10억 달러)
2026*,1494.68
2025*,1430.84
2024*,1368.87
2023*,1307.81
2022*,1251.09
2021*,1192.48
2020,1076.16
2019,1268.87
2018,1222.35
2017년,1158.91
2016년,1078.49
2015년,1171.87
2014년,1315.36
2013년,1274.44
2012,1201.09
2011년,1180.49
2010년,1057.8
2009년,900.05
2008년,1109.99
2007년,1052.7
2006년,975.38
2005년,877.48
2004년,782.24
2003년,729.34
2002년,772.11
2001년,756.69
2000,707.91
1999년,600.23
1998년,526.52
1997년,500.42
1996년,410.97
1995년,360.1
1994년,527.81
1993년,500.8
1992년,403.73
1991년,348.14
1990년,290.4
1989년,246.08
1988년,201.93
1987년,165.06
1986년,150.51
