"구매자(판매자, 날짜)",금액(단위: 백만 달러)
"캐노피 성장 (Bedrocan Cannabis, 2015년 8월)",46.4
"CSA Holdings (Canna Security America, 2015년 9월)",24.8
"성장 솔루션(Light Touch Vein & Laser, 2015년 4월)",23.1
"MMJ 파이토텍 (MMJ Bioscience, 2015년 7월)",19.8
"캐나다 대마초 (Hydropothecry, 2015년 10월)",16.3
"Saratoga Electronic Solutions(Abba Medix, 2015년 3월)",6.2
"Gleneagle Gold(Zelda Therapeutics, 2015년 9월)",5.7
"캐노피 성장(MedCannAccess, 2015년 10월)",4.4
"윈드파이어 캐피털(Rosebud Productions, 2015년 2월)",4.2
"Mountain High 인수 (GreenLife BotaniX, 2015년 2월)",4.0
