특성,국내 총생산(단위: 10억 달러)
2026*,398.63
2025*,379.17
2024*,361.68
2023*,344.81
2022*,327.9
2021*,307.94
2020,252.76
2019,279.27
2018,297.44
2017년,276.9
2016년,250.33
2015년,243.91
2014년,260.48
2013년,278.35
2012,267.03
2011년,252.1
2010년,218.32
2009년,172.53
2008년,179.48
2007년,173.57
2006년,154.86
2005년,123.0
2004년,99.23
2003년,75.64
2002년,69.73
2001년,70.97
2000,77.82
1999년,75.1
1998년,81.56
1997년,84.91
1996년,78.02
1995년,73.6
1994년,57.11
1993년,49.51
1992년,46.27
1991년,37.98
1990년,33.0
1989년,29.68
1988년,25.77
1987년,21.86
1986년,18.53
