특성,당기순이익/손실(10억엔)
2021년 1분기,46.03
2020년 4분기 *,-29.78
2020년 3분기,16.3
2020년 2분기,19.8
2020년 1분기,49.9
2019년 4분기,3.28
2019년 3분기,39.84
2019년 2분기,19.1
2019년 1분기,53.4
2018년 4분기,6.5
2018년 3분기,22.31
2018년 2분기,32.25
2018년 1분기,46.62
2017년 4분기,-2.21
2017년 3분기,19.6
2017년 2분기,19.45
2017년 1분기,19.91
2016년 4분기,11.21
2016년 3분기,7.64
2016년 2분기,7.56
2016년 1분기,-6.27
2015년 4분기,4.4
2015년 3분기,19.18
2015년 2분기,13.01
2015년 1분기,18.54
2014년 4분기,-4.5
2014년 3분기,13.59
2014년 2분기,4.09
2014년 1분기,16.14
2013년 4분기,-4.44
2013년 3분기,8.05
2013년 2분기,11.37
2013년 1분기,15.15
2012년 4분기,0.55
2012년 3분기,7.35
2012년 2분기,7.38
2012년 1분기,13.0
2011년 4분기,5.82
2011년 3분기,7.23
2011년 2분기,5.12
2011년 1분기,7.59
