년도,남자들,여성
2016 리우 올림픽,19.78,21.78
런던 2012,19.32,21.88
베이징 2008,19.3,21.74
아테네 2004,19.79,22.06
시드니 2000,20.09,22.27
애틀랜타 1996,19.32,12.22
바르셀로나 1992,20.01,21.81
1988년 서울,19.75,21.34
로스앤젤레스 1984,19.8,21.81
모스크바 1980,20.19,22.03
몬트리올 1976,20.23,22.37
뮌헨 1972,20.0,22.4
멕시코시티 1968,19.8,22.5
도쿄 1964,20.3,23
로마 1960,20.5,24
멜버른 1956,20.6,23.4
헬싱키 1952,20.7,23.7
런던 1948,21.1,24.4
1936년 베를린,20.7,-
로스앤젤레스 1932,21.2,-
암스테르담 1928,21.8,-
1924년 파리,21.6,-
앤트워프 1920,22.0,-
스톡홀름 1912,21.7,-
런던 1908,22.6,-
세인트 루이스 1904,21.6,-
파리 1900,22.2,-
