특성,USD BRL 환율
11월 20일,5.34
10월 20일,5.78
9월 20일,5.63
8월 20일,5.39
7월 20일,5.15
6월 20일,5.4
5월 20일,5.27
4월 20일,5.33
3월 20일,5.19
2월 20일,4.48
1월 20일,4.24
12월 19일,4.02
11월 19일,4.26
10월 19일,3.99
9월 19일,4.16
8월 19일,4.17
7월 19일,3.79
6월 19일,3.82
5월 19일,3.98
4월 19일,3.94
3월 19일,3.99
2월 19일,3.73
1월 19일,3.68
12월 18일,3.87
11월 18일,3.85
10월 18일,3.69
9월 18일,4.01
8월 18일,4.15
7월 18일,3.73
6월 18일,3.86
5월 18일,3.72
4월 18일,3.46
3월 18일,3.3
2월 18일,3.25
1월 18일,3.18
12월 17일,3.31
11월 17일,3.24
10월 17일,3.29
9월 17일,3.18
8월 17일,3.16
7월 17일,3.18
6월 17일,3.3
5월 17일,3.26
4월 17일,3.18
3월 17일,3.15
2월 17일,3.11
