특성,백만 달러 단위의 수익
2021년 1분기,232.1
2020년 4분기,233.2
2020년 3분기,220.81
2020년 2분기,169.03
2020년 1분기,249.9
'19년 4분기,268.82
'19년 3분기,262.47
2019년 2분기,246.96
'19년 1분기,235.94
'18년 4분기,243.74
'18년 3분기,241.1
'18년 2분기,234.86
'18년 1분기,223.07
'17년 4분기,219.44
'17년 3분기,223.3
2017년 2분기,209.9
'17년 1분기,198.2
'16년 4분기,194.8
'16년 3분기,186.2
'16년 2분기,173.4
'16년 1분기,158.61
'15년 4분기,153.73
'15년 3분기,143.6
'15년 2분기,133.9
'15년 1분기,118.5
'14년 4분기,109.9
'14년 3분기,102.5
'14년 2분기,88.8
'14년 1분기,76.41
'13년 4분기,70.7
'13년 3분기,61.18
'13년 2분기,55.0
'13년 1분기,46.1
'12년 4분기,41.16
'12년 3분기,36.4
2012년 2분기,32.65
'12년 1분기,27.39
'11년 4분기,24.91
'11년 3분기,22.3
'11년 2분기,19.58
'11년 1분기,16.5
'10년 4분기,15.27
'10년 3분기,12.59
'10년 2분기,10.73
'10년 1분기,9.14
