특성,직원 수
조지 웨스턴 리미티드*,200000
매케인 식품 제한,17000
코트 코퍼레이션* ***,14200
라 쿠프 페데레,12541
단풍잎 식품*,11000
아그로푸르 협동조합*,8000
코카콜라 다과 캐나다,5600
크래프트 캐나다 주식회사**,4656
펩시코 캐나다 ULC,4000
네슬레 캐나다 주식회사,3500
몰슨 쿠어스 캐나다,3100
프리미엄 브랜드 홀딩스 코퍼레이션*,3000
메이플 롯지 팜스 주식회사**,2900
엑셀도르 협동조합 아비콜레,2225
Lassonde Industries Inc.*,2100
선라이즈 팜스,2100
주식회사 사푸토*,2000
AGT 식품 및 성분 Inc.***,2000
클리어워터 시푸드 리미티드* **,1900
썬옵타(주),1754
하이 라이너 푸드 통합*,1293
게이 레아 식품 협동조합(Gay Lea Foods Cooperative Limited),950
Kellogg Canada Inc.**,850
로저스 슈가 주식회사*,550
