회사 (원산지),미국 달러 10억 달러
Schwarz Unternehmenstreuhand KG(독일),126.12
Aldi Einkauf GmbH & Co. oHG(독일)*,106.33
테스코 PLC (영국),81.35
아홀드 델하이즈(네덜란드),74.16
Edeka 그룹(독일)* **,61.22
Rewe 그룹(독일)**,55.77
Auchan Holding SA (프랑스),51.26
센터 대리점 E. Leclerc(프랑스)* **,43.43
LVMH 모엣 헤네시-루이 비통 S.A.(프랑스),41.81
카지노 Guichard-Perrachon S.A.(프랑스),38.78
J Sainsbury plc (영국),36.3
"ITM Development International(Intermarche, 프랑스)* **",35.44
X5 소매 그룹 N.V.,26.79
"메르카도나, SA(스페인)",26.15
Metro AG(독일)*,25.35
Migros-Genossenschafts Bund(스위스)* **,24.97
Coop Group (스위스)* **,23.34
"Systeme U, Centrale Nationale(프랑스)* **",22.92
Wm Morrison Supermarkets PLC (영국),22.4
"Conad Consorzio Nazionale, Dettaglianti Soc. 가두어 놓다. a.r.l.* **",14.3
