특성,백만 달러 단위의 수익
2021년 1분기,2058.0
2020년 4분기,1634.0
2020년 3분기,1589.0
2020년 2분기,1540.0
2020년 1분기,1952.0
'19년 4분기,2062.0
'19년 3분기,2011.0
2019년 2분기,1977.0
'19년 1분기,1744.0
'18년 4분기,1495.91
'18년 3분기,1467.38
'18년 2분기,1432.3
'18년 1분기,1375.1
'17년 4분기,1403.9
'17년 3분기,1379.6
2017년 2분기,1347.57
'17년 1분기,1294.07
'16년 4분기,1303.0
'16년 3분기,1277.65
'16년 2분기,1235.57
'16년 1분기,1201.01
'15년 4분기,1196.15
'15년 3분기,1169.71
'15년 2분기,1123.21
'15년 1분기,1080.99
'14년 4분기,1090.95
'14년 3분기,1057.09
'14년 2분기,1035.35
'14년 1분기,997.71
'13년 4분기,1000.08
'13년 3분기,961.51
'13년 2분기,940.11
'13년 1분기,897.4
'12년 4분기,892.42
'12년 3분기,867.36
2012년 2분기,837.54
'12년 1분기,804.72
'11년 4분기,783.74
'11년 3분기,762.55
'11년 2분기,744.4
'11년 1분기,723.84
