특성,백만 유로 단위의 시가총액
2020년 9월,1124.39
2020년 8월,1230.82
2020년 7월,1184.1
2020년 6월,1218.02
2020년 5월,1272.38
2020년 4월,1217.34
2020년 3월,1047.72
2020년 2월,1303.21
2020년 1월,1534.88
2019년 12월,1257.46
2019년 11월,1394.7
2019년 10월,1424.93
2019년 9월,1335.58
2019년 8월,1495.59
2019년 7월,1536.17
2019년 6월,1474.61
2019년 5월,1507.34
2019년 4월,1266.09
2019년 3월,1513.12
2019년 2월,1234.4
2019년 1월,1413.91
2018년 12월,1091.1
2018년 11월,1096.74
2018년 10월,948.16
2018년 9월,1470.28
2018년 8월,1223.65
2018년 7월,883.03
2018년 6월,667.36
2018년 5월,604.08
2018년 4월,641.89
2018년 3월,648.55
2018년 2월,723.24
2018년 1월,834.37
2017년 12월,770.9
2017년 11월,707.77
2017년 10월,745.52
2017년 9월,802.42
2017년 8월,760.24
2017년 7월,593.05
