특성,국내 총생산(단위: 10억 달러)
2026*,63.65
2025*,59.19
2024*,55.1
2023*,51.29
2022*,48.07
2021*,44.89
2020*,39.02
2019,38.86
2018,38.71
2017년,35.0
2016년,32.64
2015년,30.93
2014년,35.0
2013년,32.36
2012,29.12
2011년,29.37
2010년,26.19
2009년,26.09
2008년,26.51
2007년,22.4
2006년,19.37
2005년,17.97
2004년,17.44
2003년,14.56
2002년,11.59
2001년,10.38
2000,9.8
1999년,10.7
1998년,10.5
1997년,10.51
1996년,10.39
1995년,9.33
1994년,9.83
1993년,14.45
1992년,13.85
1991년,15.11
1990년,13.55
1989년,13.54
1988년,15.18
1987년,14.95
1986년,12.91
