특성,사망자,다쳐서
"버지니아 공대 대학살(버지니아주 블랙스버그, 2007)",33,23
"콜럼바인 고등학교 총격 사건(콜로라도주 리틀턴, 1999)",13,24
"스톡턴 학교 운동장 총격 사건(캘리포니아주 스톡턴, 1989)",6,29
"마저리 스톤맨 더글라스 고등학교 총격 사건(플로리다주 파크랜드, 2018)",17,17
"서스턴 고등학교 총격 사건(오레곤주 스프링필드, 1998)",4,25
"샌디훅 초등학교 학살(코네티컷 주 뉴타운, 2012)",27,2
"노던일리노이대학교 총격 사건(일리노이주 디캘브, 2008)",5,21
"산타페 고등학교 총격 사건(텍사스주 산타페, 2018)",10,13
"이슬라 비스타 대량 살인 (캘리포니아주 산타바바라, 2014)",6,13
"엄프콰 커뮤니티 칼리지 총격 사건(오리건주 로즈버그, 2015)",9,9
"웨스트사이드 중학교 살인 사건(아칸소주 존스보로, 1998년)",5,10
레드 레이크 학살(2005년 미네소타 주 레드 레이크),10,5
"린드허스트 고등학교 총격 사건(캘리포니아주 올리브허스트, 1992)",4,10
"아미쉬 학교 총격 사건(펜실베니아 주 랭커스터 카운티, 2006)",6,5
"오이코스 대학교 살인 사건(캘리포니아 주 오클랜드, 2012)",7,3
"아이오와 대학교 총격 사건(아이오와주 아이오와시티, 1991)",6,1
"메리스빌-필척 고등학교 총격 사건(워싱턴주 메리스빌, 2014)",5,1
