주 시작일,지출(단위: 백만 달러)
2012년 11월 5일,1.35
2012년 10월 29일,97.8
2012년 10월 22일,76.5
2012년 10월 15일,53.4
2012년 10월 8일,34.3
2012년 10월 1일,33.0
2012년 9월 24일,17.3
2012년 9월 17일,29.0
2012년 9월 10일,10.03
2012년 9월 3일,8.8
2012년 8월 27일,3.29
2012년 8월 20일,15.7
2012년 8월 13일,13.47
2012년 8월 6일,4.31
2012년 7월 30일,14.16
2012년 7월 23일,11.0
2012년 7월 16일,4.54
2012년 7월 9일,3.31
2012년 7월 2일,0.85
2012년 6월 25일,6.31
2012년 6월 18일,8.93
2012년 6월 11일,1.39
2012년 6월 4일,4.33
2012년 5월 28일,1.57
2012년 5월 21일,2.07
2012년 5월 14일,8.15
2012년 5월 7일,5.15
2012년 4월 30일,4.14
2012년 4월 23일,3.24
2012년 4월 16일,1.28
2012년 4월 9일,2.88
2012년 4월 2일,0.76
2012년 3월 26일,3.66
2012년 3월 19일,1.83
2012년 3월 12일,3.68
2012년 3월 5일,4.54
2012년 2월 27일,11.2
2012년 2월 20일,7.61
2012년 2월 13일,4.54
2012년 2월 6일,0.4
2012년 1월 30일,1.23
2012년 1월 23일,12.2
2012년 1월 16일,4.84
2012년 1월 9일,10.7
2012년 1월 2일,1.91
2011년 12월 26일,4.14
2011년 12월 19일,1.66
2011년 12월 12일,2.71
