특성,미화 백만 달러 규모의 자금 조달
페블 타임 (2015),20.34
쿨리스트 쿨러 (2014),13.29
프로스트헤이븐 (2020),12.97
"페블 2, 타임 2 + 완전히 새로운 페블 코어(2016)",12.78
킹덤 데스: 몬스터 1.5 (2017),12.39
Peak Design의 여행용 삼각대(2019),12.14
주요 역할: 복스 마키나 애니메이션 스페셜(2019)의 전설,11.39
페블: 아이폰과 안드로이드용 전자종이시계(2012),10.27
세계 최고의 여행용 재킷(2015),9.19
Wyrmwood 모듈형 게임 테이블: 커피 및 식사 모델,8.81
폭발하는 새끼 고양이 (2015),8.78
OUYA: 새로운 종류의 비디오 게임 콘솔(2012),8.6
Snapmaker 2.0: 모듈형 3-in-1 3D 프린터(2019),7.85
제7대륙 – 올라가는 것은 내려와야 한다 (2017),7.07
왕의 길 10주년 기념 Leatherbound Ed. (2020),6.79
