특성,비용(단위: 백만 달러)
2020년 4분기,2.11
2020년 3분기,1.93
2020년 2분기,1.69
2020년 1분기,1.8
2019년 4분기,2.74
2019년 3분기,2.77
2019년 2분기,2.94
2019년 1분기,3.36
2018년 4분기,4.9
2018년 3분기,5.46
2018년 2분기,5.83
2018년 1분기,5.02
2017년 4분기,4.42
2017년 3분기,4.17
2017년 2분기,5.93
2017년 1분기,3.52
2016년 4분기,3.58
2016년 3분기,3.81
2016년 2분기,4.24
2016년 1분기,3.8
2015년 4분기,3.29
2015년 3분기,3.65
2015년 2분기,4.62
2015년 1분기,5.47
2014년 4분기,3.78
2014년 3분기,3.94
2014년 2분기,5.29
2014년 1분기,3.82
2013년 4분기,3.98
2013년 3분기,3.37
2013년 2분기,3.36
2013년 1분기,3.35
2012년 4분기,3.35
2012년 3분기,4.18
2012년 2분기,3.92
2012년 1분기,5.03
2011년 4분기,3.76
2011년 3분기,2.38
2011년 2분기,2.06
2011년 1분기,1.48
2010년 4분기,1.24
2010년 3분기,1.2
2010년 2분기,1.34
2010년 1분기,1.38
