특성,수거된 폐기물의 미터톤
2020년 4분기,126495
2020년 3분기,134725
2020년 2분기,64424
2020년 1분기,134093
'19년 4분기,118861
'19년 3분기,131720
2019년 2분기,122982
'19년 1분기,122951
'18년 4분기,114554
'18년 3분기,126367
'18년 2분기,131030
'18년 1분기,121372
'17년 4분기,119230
'17년 3분기,135297
2017년 2분기,133832
'17년 1분기,136721
'16년 4분기,133898
'16년 3분기,148367
'16년 2분기,150993
'16년 1분기,146999
'15년 4분기,127653
'15년 3분기,131207
'15년 2분기,128826
'15년 1분기,127741
'14년 4분기,122406
'14년 3분기,128662
'14년 2분기,121974
'14년 1분기,118838
'13년 4분기,115754
'13년 3분기,123672
'13년 2분기,120650
'13년 1분기,112804
