특성,백만 달러 단위의 수익
2021년 1분기,329.08
2020년 4분기,315.8
2020년 3분기,300.95
2020년 2분기,293.19
2020년 1분기,285.43
2019년 4분기,275.28
2019년 3분기,267.3
2019년 2분기,270.46
2019년 1분기,270.81
2018년 4분기,263.55
2018년 3분기,257.8
2018년 2분기,260.63
2018년 1분기,260.59
2017년 4분기,269.38
2017년 3분기,246.64
2017년 2분기,250.04
2017년 1분기,242.38
2016년 4분기,225.97
2016년 3분기,217.1
2016년 2분기,219.48
2016년 1분기,217.99
2015년 4분기,215.16
2015년 3분기,210.71
2015년 2분기,213.13
2015년 1분기,212.79
2014년 4분기,210.56
2014년 3분기,206.73
2014년 2분기,209.82
2014년 1분기,209.72
2013년 4분기,207.67
2013년 3분기,204.16
2013년 2분기,206.97
2013년 1분기,205.48
2012년 4분기,216.12
2012년 3분기,194.74
2012년 2분기,194.21
2012년 1분기,189.97
