특성,판매된 자동차 수
2020년 1월,31163
19년 12월,224
'19년 11월,741
19년 10월,2164
'19년 9월,3415
'19년 8월,5087
'19년 7월,24681
19년 6월,1408
19년 5월,6320
'19년 4월,8904
'19년 3월,16687
'19년 2월,15069
19년 1월,32370
'18년 12월,142
'18년 11월,645
18년 10월,1689
'18년 9월,3192
'18년 8월,5921
'18년 7월,26958
18년 6월,1251
18년 5월,6056
'18년 4월,8053
'18년 3월,17728
'18년 2월,17012
'18년 1월,37034
'17년 12월,159
'17년 11월,682
'17년 10월,1943
'17년 9월,3897
'17년 8월,5730
'17년 7월,27706
'17년 6월,1400
'17년 5월,5992
'17년 4월,7841
'17년 3월,19890
'17년 2월,17089
'17년 1월,39003
