특성,국내 총생산(단위: 10억 달러)
2026*,150.16
2025*,143.07
2024*,137.54
2023*,133.07
2022*,129.7
2021*,126.93
2020*,107.94
2019,134.62
2018,140.67
2017년,120.69
2016년,109.38
2015년,114.61
2014년,162.7
2013년,174.18
2012,174.07
2011년,154.02
2010년,115.4
2009년,105.99
2008년,147.4
2007년,114.68
2006년,101.56
2005년,80.81
2004년,59.44
2003년,47.84
2002년,38.14
2001년,34.89
2000,37.72
1999년,30.12
1998년,25.94
1997년,30.35
1996년,31.49
1995년,27.19
1994년,24.8
1993년,24.0
1992년,19.87
1991년,10.83
1990년,18.29
1989년,23.86
1988년,19.28
1987년,20.82
1986년,17.38
